BR;KM;LAT;LONG
116;5,7;-22,530763;-44,75125
116;5,71;-22,530791;-44,751343
116;5,72;-22,530819;-44,751436
116;5,73;-22,530848;-44,751529
116;5,74;-22,530877;-44,751621
116;5,75;-22,530906;-44,751714
116;5,76;-22,530936;-44,751807
116;5,77;-22,530965;-44,751899
116;5,78;-22,530995;-44,751992
116;5,79;-22,531025;-44,752085
116;5,8;-22,531054;-44,752177
116;5,81;-22,531084;-44,752269
116;5,82;-22,531115;-44,752361
116;5,83;-22,531145;-44,752454
116;5,84;-22,531175;-44,752546
116;5,85;-22,531206;-44,752638
116;5,86;-22,531237;-44,752731
116;5,87;-22,531268;-44,752823
116;5,88;-22,531298;-44,752915
116;5,89;-22,53133;-44,753007
116;5,9;-22,531361;-44,753099
116;5,91;-22,531392;-44,753191
116;5,92;-22,531424;-44,753283
116;5,93;-22,531456;-44,753374
116;5,94;-22,531487;-44,753466
116;5,95;-22,531518;-44,753558
116;5,96;-22,531549;-44,75365
116;5,97;-22,53158;-44,753742
116;5,98;-22,531611;-44,753834
116;5,99;-22,531642;-44,753927
116;6;-22,531672;-44,754019
116;6,01;-22,531703;-44,754111
116;6,02;-22,531733;-44,754203
116;6,03;-22,531764;-44,754295
116;6,04;-22,531795;-44,754387
116;6,05;-22,531825;-44,75448
116;6,06;-22,531857;-44,754572
116;6,07;-22,531888;-44,754664
116;6,08;-22,53192;-44,754756
116;6,09;-22,531951;-44,754848
116;6,1;-22,531981;-44,75494
116;6,11;-22,532012;-44,755032
116;6,12;-22,532044;-44,755124
116;6,13;-22,532075;-44,755216
116;6,14;-22,532106;-44,755308
116;6,15;-22,532137;-44,7554
116;6,16;-22,532168;-44,755492
116;6,17;-22,532199;-44,755584
116;6,18;-22,53223;-44,755676
116;6,19;-22,53226;-44,755768
116;6,2;-22,532291;-44,75586
116;6,21;-22,532322;-44,755953
116;6,22;-22,532353;-44,756045
116;6,23;-22,532384;-44,756137
116;6,24;-22,532415;-44,756229
116;6,25;-22,532446;-44,756321
116;6,26;-22,532477;-44,756413
116;6,27;-22,532507;-44,756505
116;6,28;-22,532539;-44,756597
116;6,29;-22,53257;-44,756689
116;6,3;-22,532602;-44,756781
116;6,31;-22,532634;-44,756873
116;6,32;-22,532666;-44,756964
116;6,33;-22,532697;-44,757056
116;6,34;-22,53273;-44,757147
116;6,35;-22,532764;-44,757239
116;6,36;-22,5328;-44,757329
116;6,37;-22,532837;-44,757418
116;6,38;-22,532866;-44,757512
116;6,39;-22,532893;-44,757605
116;6,4;-22,532915;-44,757699
116;6,41;-22,532945;-44,757791
116;6,42;-22,532976;-44,757884
116;6,43;-22,533008;-44,757976
116;6,44;-22,533039;-44,758068
116;6,45;-22,533069;-44,75816
116;6,46;-22,533099;-44,758252
116;6,47;-22,53313;-44,758345
116;6,48;-22,533161;-44,758436
116;6,49;-22,533192;-44,758529
116;6,5;-22,533223;-44,75862
116;6,51;-22,533254;-44,758712
116;6,52;-22,533285;-44,758804
116;6,53;-22,533315;-44,758897
116;6,54;-22,533345;-44,75899
116;6,55;-22,533376;-44,759082
116;6,56;-22,533408;-44,759174
116;6,57;-22,533439;-44,759265
116;6,58;-22,533471;-44,759357
116;6,59;-22,533504;-44,759448
116;6,6;-22,533537;-44,75954
116;6,61;-22,533573;-44,75963
116;6,62;-22,533609;-44,75972
116;6,63;-22,533646;-44,75981
116;6,64;-22,533685;-44,759899
116;6,65;-22,533726;-44,759987
116;6,66;-22,533769;-44,760074
116;6,67;-22,533814;-44,76016
116;6,68;-22,533862;-44,760245
116;6,69;-22,533911;-44,760328
116;6,7;-22,533963;-44,760411
116;6,71;-22,534016;-44,760492
116;6,72;-22,534069;-44,760574
116;6,73;-22,534126;-44,760653
116;6,74;-22,534182;-44,760732
116;6,75;-22,53424;-44,76081
116;6,76;-22,534299;-44,760887
116;6,77;-22,534359;-44,760963
116;6,78;-22,53442;-44,761039
116;6,79;-22,53448;-44,761115
116;6,8;-22,53454;-44,761191
116;6,81;-22,534599;-44,761268
116;6,82;-22,534659;-44,761345
116;6,83;-22,534719;-44,761422
116;6,84;-22,534778;-44,761498
116;6,85;-22,534838;-44,761575
116;6,86;-22,534898;-44,761652
116;6,87;-22,534958;-44,761728
116;6,88;-22,535018;-44,761805
116;6,89;-22,535078;-44,761881
116;6,9;-22,535137;-44,761958
116;6,91;-22,535197;-44,762035
116;6,92;-22,535256;-44,762111
116;6,93;-22,535315;-44,762188
116;6,94;-22,535374;-44,762266
116;6,95;-22,535432;-44,762343
116;6,96;-22,535488;-44,762423
116;6,97;-22,535542;-44,762503
116;6,98;-22,535594;-44,762585
116;6,99;-22,535644;-44,762669
116;7;-22,535694;-44,762753
116;7,01;-22,535739;-44,762838
116;7,02;-22,535783;-44,762925
116;7,03;-22,535823;-44,763013
116;7,04;-22,535861;-44,763103
116;7,05;-22,535896;-44,763193
116;7,06;-22,535927;-44,763285
116;7,07;-22,535956;-44,763378
116;7,08;-22,535983;-44,763471
116;7,09;-22,536005;-44,763566
116;7,1;-22,536026;-44,763661
116;7,11;-22,536044;-44,763756
116;7,12;-22,536059;-44,763853
116;7,13;-22,536073;-44,763949
116;7,14;-22,536084;-44,764045
116;7,15;-22,536091;-44,764142
116;7,16;-22,536096;-44,764239
116;7,17;-22,536097;-44,764336
116;7,18;-22,536096;-44,764433
116;7,19;-22,536094;-44,76453
116;7,2;-22,536093;-44,764628
116;7,21;-22,536092;-44,764724
116;7,22;-22,536093;-44,764822
116;7,23;-22,536096;-44,764918
116;7,24;-22,536098;-44,765016
116;7,25;-22,536099;-44,765113
116;7,26;-22,536098;-44,76521
116;7,27;-22,536096;-44,765307
116;7,28;-22,536093;-44,765404
116;7,29;-22,536092;-44,765501
116;7,3;-22,536087;-44,765598
116;7,31;-22,536082;-44,765695
116;7,32;-22,536078;-44,765793
116;7,33;-22,536075;-44,765889
116;7,34;-22,536073;-44,765987
116;7,35;-22,536071;-44,766084
116;7,36;-22,536064;-44,766181
116;7,37;-22,536055;-44,766278
116;7,38;-22,536044;-44,766374
116;7,39;-22,536033;-44,766471
116;7,4;-22,536025;-44,766568
116;7,41;-22,536017;-44,766664
116;7,42;-22,536009;-44,766761
116;7,43;-22,536005;-44,766858
116;7,44;-22,536;-44,766955
116;7,45;-22,535995;-44,767052
116;7,46;-22,535993;-44,767149
116;7,47;-22,535991;-44,767246
116;7,48;-22,535985;-44,767343
116;7,49;-22,535983;-44,76744
116;7,5;-22,535982;-44,767538
116;7,51;-22,53598;-44,767635
116;7,52;-22,535978;-44,767732
116;7,53;-22,535976;-44,767828
116;7,54;-22,535977;-44,767926
116;7,55;-22,535978;-44,768023
116;7,56;-22,535979;-44,76812
116;7,57;-22,53598;-44,768218
116;7,58;-22,535983;-44,768315
116;7,59;-22,535985;-44,768412
116;7,6;-22,535988;-44,768509
116;7,61;-22,53599;-44,768606
116;7,62;-22,535993;-44,768703
116;7,63;-22,535997;-44,7688
116;7,64;-22,536004;-44,768897
116;7,65;-22,53601;-44,768994
116;7,66;-22,536015;-44,76909
116;7,67;-22,536022;-44,769188
116;7,68;-22,53603;-44,769285
116;7,69;-22,536038;-44,769381
116;7,7;-22,536047;-44,769478
116;7,71;-22,536056;-44,769575
116;7,72;-22,536066;-44,769672
116;7,73;-22,536077;-44,769768
116;7,74;-22,536087;-44,769865
